,,Year,Year,Year,Year,Year,Year,Year
Region/Subregion/Country of Birth,,1960,1970,1980,1990,2000,2010,2018
Venezuela,Immigrants,"6,851","11,348","33,281","42,119","107,031","184,039","393,841"
Venezuela,Immigrants_R,"6,900","11,300","33,300","42,100","107,000","184,000","393,800"
Venezuela,Percent of total,0.10%,0.10%,0.20%,0.20%,0.30%,0.50%,0.90%
(All countries),Immigrants,"9,738,091","9,619,302","14,079,906","19,767,316","31,107,889","39,955,673","44,728,502"
(All countries),Immigrants_R,"9,738,100","9,619,300","14,079,900","19,767,300","31,107,900","39,955,700","44,728,500"
(All countries),Percent of total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Argentina,Immigrants,"16,579","44,803","68,887","92,563","125,218","171,534","194,421"
Argentina,Immigrants_R,"16,600","44,800","68,900","92,600","125,200","171,500","194,400"
Argentina,Percent of total,0.20%,0.50%,0.50%,0.50%,0.40%,0.40%,0.40%
Bahamas,Immigrants,,,"13,993","21,633","28,273","31,602","29,216"
Bahamas,Immigrants_R,,,"14,000","21,600","28,300","31,600","29,200"
Bahamas,Percent of total,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%
Barbados,Immigrants,,,"26,847","43,015","52,172","52,829","53,376"
Barbados,Immigrants_R,,,"26,800","43,000","52,200","52,800","53,400"
Barbados,Percent of total,0.00%,0.00%,0.20%,0.20%,0.20%,0.10%,0.10%
Belize,Immigrants,"2,780","8,860","14,436","29,957","42,133","47,197","47,287"
Belize,Immigrants_R,"2,800","8,900","14,400","30,000","42,100","47,200","47,300"
Belize,Percent of total,0.00%,0.10%,0.10%,0.20%,0.10%,0.10%,0.10%
Bolivia,Immigrants,"2,168","6,872","14,468","31,303","53,278","78,900","79,357"
Bolivia,Immigrants_R,"2,200","6,900","14,500","31,300","53,300","78,900","79,400"
Bolivia,Percent of total,0.00%,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%
